title,label
Trump backs off praise of Russia's Putin after debate,1
Trump's funding request for U.S. border wall hits snag among some Republicans,1
" As Votes For Trump Went Up, Canada’s Immigration Site Went Down — HARD",0
"U.S. Navy, shipbuilders ready for Trump's expansion plan",1
"Trump defends DACA move, urges Congress to enact immigration law",1
MUST WATCH VIDEO: WATCH WHAT TRACK & FIELD OLYMPIAN Does When Our National Anthem Is Played [Video],0
Trump plans to name former Bush staffer Cha as Seoul envoy,1
"Retired U.S. military officers urge Congress to fully fund diplomacy, aid",1
INVESTIGATION LAUNCHED: SECOND TRESPASSER May Have Been Near President Trump In U.S. Capitol [Video],0
"In movie-style heist, Kenya robbers tunnel into bank opposite police station",1
"France was informed of Syria strikes, says Russia should heed U.S. 'warning'",1
LONDON’S NEW MUSLIM MAYOR Threatens Trump: Allow Muslims Into U.S. Or They Will Attack America,0
Trump's EPA pick vote delayed in boycott by Senate Democrats,1
"Palestinians call general strike, rallies to protest Trump Jerusalem move",1
Critic of Rwanda's president asks for freedom in court,1
Spain to make it easier for firms to move base from Catalonia as business alarm deepens,1
 How Sh*tty Of A Birthday Must Ivanka Trump Be Having?,0
"Emirates, Etihad boarding as usual after second Trump travel ban blocked",1
Top Senate Democrat calls on White House to release Trump-Russia meeting transcripts,1
TRUMP HATER MEGYN KELLY Pummeled In Ratings While Hannity Soars!,0
Lawmakers see strong board as part of Puerto Rico debt fix,1
" Newt Gingrich: Forget NSA Spying, Bring Back The House Un-American Activities Committee (VIDEO)",0
"#LockHimUp Former Oversight Chair Jason Chaffetz: If Comey’s Leaked Memos Contained Classified Information, He Should Have Handcuffs On And Go To Jail",0
 Trump Just Got Called Out As ‘Threat To Democracy’ By Admiral Who Oversaw Killing Of Bin Laden,0
"WATCH OBAMA AWKWARDLY AND ANGRILY Tell Audience To ‘Choose Hope!’ Six Times In A Row…Looks nervous, doesn’t he?",0
BUSTED: YOUNG NJ DEMOCRAT CHAIRMAN CAUGHT PUNCHING 75 YR OLD BLIND VETERAN VOLUNTEERING AT POLLS [Video],0
U.S. lawmakers seek temporary extension to internet spying program,1
 BREAKING: Sources Reveal Trump HIMSELF Met With Russian Ambassador During Campaign (DETAILS),0
Turkey to seize assets of gold trader testifying in U.S. court: Anadolu,1
U.S. needs to work with others on North Korea crisis: Singapore PM,1
 What Trump Wants To Do To Your Children Would Break The Law,0
" Sean Spicer Just Got Into A Fight With Reporters, Explodes Over ‘Fake News’ (VIDEO)",0
MINORITIES TURN ON OBAMA…BLAST HIS “LEGACY”: “I Voted For Your Black Ass…Is That Your Legacy…Obamaphones…Transgendered Toilets?” [VIDEO],0
" I Let A Pit Bull Near My Baby, And This Is What Happened (IMAGES)",0
Japan PM stresses importance of TPP trade pact in Clinton meeting,1
 Trump Stooge Devin Nunes Hands Investigation To Others As Ethics Committee Investigates Him,0
Swedish Mother KICKS Daughter Out Of Her Room To House Refugee…Refugee Promptly Sexually Assaults 10 Year Old Daughter,0
John Kerry commits more U.S. military aid for ex-Soviet Georgia,1
Japan's biggest warship to drill with U.S. carriers near Korean peninsula,1
Trump says to decide on running mate by week's end: Washington Post,1
"In shift, Merkel backs end to EU-Turkey membership talks",1
UK's Johnson says Poles' post-Brexit rights protected 'whatever happens',1
(Don’t Hold The Press) Jeb Bush Endorses Ted Cruz For President,0
"Trump skips debate, wins on social media",1
German would-be partners have very different immigration ideas,1
WOW! CRAZY WHITE LIBERAL Screams At Black Trump Supporter On Racism [Video],0
 Palin Stands With Disgraced ESPN Analyst Curt Schilling By Bashing Trans People In His Honor (IMAGE),0
WHY WOULD OBAMA ALLOW GREEN BERET To Be Discharged For Saving Life Of Young Boy Kept As Sex Slave By Muslim Afghan Police Chief?,0
Israel strikes militant targets in Gaza after mortar barrage,1
New Jersey Senator Menendez fails to win breaks in corruption trial,1
Congo used exiled rebels to suppress anti-Kabila protests: report,1
 The U.S. Constitution Just Ruined Trump’s Day: He’s Now Being Sued For His Twitter Activity (DETAILS),0
Colombia's FARC rebels to meet Kerry in Cuba during Obama trip,1
"Guinea rioters burn down police buildings in mining town, 17 wounded",1
Putin dismisses U.S. hacking allegations as campaign rhetoric,1
"Obama intends to brief, not lobby, Trump on policies: White House",1
Illinois Senate votes for $454 million higher-education package,1
Fatal Niger operation sparks calls for public hearings in Congress,1
Trump Treasury candidate's bank accused of discrimination,1
BRILLIANT DANIEL HANNAN Smacks Down Rude CNN Reporter [Video],0
Pakistani top court rejects bid to bar opposition leader Imran Khan,1
"U.S. senator, opposing FBI email data grabs, places hold on spy bill",1
White House defends statement on audience for Trump's inaugural,1
"Trump's defense chief eyes debut trip to Japan, South Korea next week",1
Shame! Last Hope To Kill Iran Nuke Deal Blocked In Senate,0
Albanian town backs Clinton with bronze bust,1
WOW! TOP SPONSORS OF NFL Issue Statements About National Anthem Protests,0
Juncker says Catalan split would lead to splintering EU,1
Factbox: Key figures in Austria's new coalition government,1
DEMOCRAT REP: Sexual Assault Is A Woman’s Fault If She Appears ‘Inviting’ [Video],0
"Albright, Hadley urge U.S. to weigh using more force in Syria",1
COVER-UP: Both Obama and Clinton Lied About Trading Classified Emails,0
 Trump Just Got Dealt A STINGING Blow From His Own Son-In-Law’s Newspaper,0
Trump weighs recognizing Jerusalem as Israel's capital: officials,1
Trump Administration Faces Flood of Lawsuits Over Executive Immigration Ban,0
"HEARTLESS DEMOCRATS Invite Illegals To Taunt Trump During Policy Speech While Trump’s Guests, Parents Of Children Murdered By Illegal Aliens, Endure Their Hate",0
Tillerson to visit Turkey as Raqqa operation heats up,1
GOLD STAR MOM SPEAKS OUT: “Obama Used Son’s Casket As Photo Op When She Asked Him Not To” [Video],0
FBI got court order to monitor ex-Trump adviser in Russia probe: Washington Post,1
" OOPS: Trump’s ‘Voter Fraud’ Panel BACKFIRES On Him, Wants To Investigate Russian Meddling In 2016 Election",0
AWESOME! Conservative Artist Crashes Anti-Trump Art Show…Shocks Liberal Crowd,0
"As he shapes Cabinet, Trump meets former rival Romney and retired Gen. Mattis",1
North Carolina lawmakers adjourn after leaving transgender law largely unchanged,1
 Federal Judge Just Gave Attorney General Jeff Sessions A Huge F*ck You,0
" Perverted GOP State Rep. Corners Lobbyist, Tries To Force Her To Help With His ‘Raging B**ner’",0
Brazil speaker says pension overhaul in danger if left until 2018,1
Brother of Toulouse jihadist faces appeal against murder acquittal,1
LOL! SNARKY WHITE YAHOO Sports Writer TRASHES Black NHL Player P.K.Subban For Saying He’ll “Never Kneel During National Anthem” Because He Has “Too Much Respect For American Flag”,0
HEARTWARMING: Support For Socialism On College Campuses Much Less Than Media Would Like Americans To Believe,0
Trump defends Senate candidate Moore despite misconduct allegations,1
JUDGE REMOVES 1 YR OLD FROM HOME OF MARRIED LESBIANS: Should Be Sent To “A more traditional home”,0
HOLY BETRAYAL OF AMERICA’S NATIONAL SECURITY: New Evidence Shows Hillary Emailed “Most Secretive” Classified Material On Private Unsecured Server,0
HYPOCRITE BILLY CRYSTAL INJECTS JAB At Trump In Eulogy To Ali That’s Curiously Similar To A Clinton Speech,0
"[Video] TRUMP TO CNN’S ANDERSON COOPER “The people don’t trust you, and the people don’t trust the media”",0
UK police making urgent inquiries to find who was behind metro incident,1
"Trump packs transition team with Washington veterans, review shows",1
"The CIA Doesn’t Need To Spy On Free Thinkers, The Private Sector Does It For Free",0
Turkey's Erdogan says U.S. consulate hiding suspect,1
BOILER ROOM: As the Frogs Slowly Boil – EP #40,0
